KBD event table
0x80, 0x03
0x00,  0x00000000,  0x00000000,  0x00000000,
0x01,  0x00000001,  0x00000001,  0x00000001,
0x02,  0x00000002,  0x00000002,  0x00000002,
0x03,  0x00000003,  0x00000003,  0x00000003,
0x04,  0x00000004,  0x00000004,  0x00000004,
0x05,  0x00000005,  0x00000005,  0x00000005,
0x06,  0x00000006,  0x00000006,  0x00000006,
0x07,  0x00000007,  0x00000007,  0x00000007,
0x08,  0x00000008,  0x00000008,  0x00000008,
0x09,  0x00000009,  0x00000009,  0x00000009,
0x0a,  0x0000000a,  0x0000000a,  0x0000000a,
0x0b,  0x0000000b,  0x0000000b,  0x0000000b,
0x0c,  0x0000000e,  0x0000000c,  0x0000000c,
0x0d,  0x0000000e,  0x0000000d,  0x0000000d,
0x0e,  0x0000008f,  0x0000008f,  0x0000008f,
0x0f,  0x0000000f,  0x00000057,  0x0000000f,
0x10,  0x00000010,  0x0000003b,  0x0000002a,
0x11,  0x00000011,  0x0000003c,  0x0000001d,
0x12,  0x00000012,  0x0000003d,  0x00000038,
0x13,  0x00000013,  0x0000003e,  0x0000007d,
0x14,  0x00000014,  0x0000003f,  0x00000064,
0x15,  0x00000015,  0x00000040,  0x0000006e,
0x16,  0x00000016,  0x00000041,  0x00000068,
0x17,  0x00000017,  0x00000042,  0x00000067,
0x18,  0x00000018,  0x00000043,  0x0000006d,
0x19,  0x00000019,  0x00000044,  0x0000006f,
0x1a,  0x0000000e,  0x00000058,  0x0000000e,
0x1b,  0x0000000e,  0x00000058,  0x0000000e,
0x1c,  0x0000001c,  0x0000001c,  0x0000001c,
0x1d,  0x0000001d,  0x0000001d,  0x0000008f,
0x1e,  0x0001001e,  0x00010002,  0x0000008f,
0x1f,  0x0002001f,  0x00020003,  0x0000008f,
0x20,  0x00040020,  0x00040004,  0x0000008f,
0x21,  0x00080021,  0x00080005,  0x0000008f,
0x22,  0x00400022,  0x00400006,  0x0000008f,
0x23,  0x00400023,  0x00400007,  0x00000066,
0x24,  0x00080024,  0x00080008,  0x00000069,
0x25,  0x00040025,  0x00040009,  0x0000006c,
0x26,  0x00200026,  0x0020000a,  0x0000006a,
0x27,  0x00100027,  0x0010000b,  0x0000006b,
0x28,  0x0000001c,  0x0000001c,  0x0000001c,
0x29,  0x00000029,  0x00000029,  0x00000029,
0x2a,  0x00010071,  0x0000007f,  0x0000008f,
0x2b,  0x0000008f,  0x0000008f,  0x0000008f,
0x2c,  0x0000002c,  0x00000029,  0x0000008f,
0x2d,  0x0000002d,  0x0000008f,  0x0000008f,
0x2e,  0x0000002e,  0x0000008f,  0x0000007d,
0x2f,  0x0400002f,  0x0000000c,  0x0100008f,
0x30,  0x00000030,  0x0000000d,  0x0000008f,
0x31,  0x04000031,  0x0000001a,  0x0100008f,
0x32,  0x00000032,  0x0000001b,  0x0000008f,
0x33,  0x00000033,  0x0000002b,  0x0000000f,
0x34,  0x00000034,  0x0000008f,  0x0000008f,
0x35,  0x00000035,  0x00000028,  0x0000008f,
0x36,  0x00000036,  0x00000063,  0x0000008f,
0x37,  0x00000037,  0x00000037,  0x00000037,
0x38,  0x00000038,  0x00000038,  0x0000008f,
0x39,  0x02000039,  0x01000039,  0x0000008f,
0x3a,  0x00020001,  0x00000001,  0x00000001,
0x3b,  0x0000003b,  0x0000003b,  0x0000003b,
0x3c,  0x0000003c,  0x0000003c,  0x0000003c,
0x3d,  0x0000003d,  0x0000003d,  0x0000003d,
0x3e,  0x0000003e,  0x0000003e,  0x0000003e,
0x3f,  0x0000003f,  0x0000003f,  0x0000003f,
0x40,  0x00000040,  0x00000040,  0x00000040,
0x41,  0x00000041,  0x00000041,  0x00000041,
0x42,  0x00000042,  0x00000042,  0x00000042,
0x43,  0x00000043,  0x00000043,  0x00000043,
0x44,  0x00000044,  0x00000044,  0x00000044,
0x45,  0x00000045,  0x00000045,  0x00000045,
0x46,  0x00000046,  0x00000046,  0x00000046,
0x47,  0x00000047,  0x00000047,  0x00000047,
0x48,  0x00000048,  0x00000048,  0x00000048,
0x49,  0x00000049,  0x00000049,  0x00000049,
0x4a,  0x0000004a,  0x0000004a,  0x0000004a,
0x4b,  0x0000004b,  0x0000004b,  0x0000004b,
0x4c,  0x0000004c,  0x0000004c,  0x0000004c,
0x4d,  0x0000004d,  0x0000004d,  0x0000004d,
0x4e,  0x0000004e,  0x0000004e,  0x0000004e,
0x4f,  0x0000004f,  0x0000004f,  0x0000004f,
0x50,  0x00000050,  0x00000050,  0x00000050,
0x51,  0x00000051,  0x00000051,  0x00000051,
0x52,  0x00000052,  0x00000052,  0x00000052,
0x53,  0x00000053,  0x00000053,  0x00000053,
0x54,  0x00000054,  0x00000054,  0x00000054,
0x55,  0x00000055,  0x00000055,  0x00000055,
0x56,  0x00000056,  0x00000056,  0x00000056,
0x57,  0x00000057,  0x00000057,  0x00000057,
0x58,  0x00000058,  0x00000058,  0x00000058,
0x59,  0x00000059,  0x00000059,  0x00000059,
0x5a,  0x0000005a,  0x0000005a,  0x0000005a,
0x5b,  0x0000005b,  0x0000005b,  0x0000005b,
0x5c,  0x0000005c,  0x0000005c,  0x0000005c,
0x5d,  0x0000005d,  0x0000005d,  0x0000005d,
0x5e,  0x0000005e,  0x0000005e,  0x0000005e,
0x5f,  0x0000005f,  0x0000005f,  0x0000005f,
0x60,  0x00000060,  0x00000060,  0x00000060,
0x61,  0x00000061,  0x00000061,  0x0000008f,
0x62,  0x00000062,  0x00000062,  0x00000062,
0x63,  0x00000063,  0x00000063,  0x0000008f,
0x64,  0x00000064,  0x00000064,  0x0000008f,
0x65,  0x00000065,  0x00000065,  0x00000065,
0x66,  0x00000066,  0x00000066,  0x00000066,
0x67,  0x00000067,  0x00000067,  0x0000008f,
0x68,  0x00000068,  0x00000068,  0x0000008f,
0x69,  0x00000069,  0x00000066,  0x0000008f,
0x6a,  0x0000006a,  0x0000006b,  0x0000008f,
0x6b,  0x0000006b,  0x0000006b,  0x0000006b,
0x6c,  0x0000006c,  0x0000006c,  0x0000008f,
0x6d,  0x0000006d,  0x0000006d,  0x0000008f,
0x6e,  0x0000006e,  0x0000006e,  0x0000006e,
0x6f,  0x0000006f,  0x0000006f,  0x0000006f,
0x70,  0x00000070,  0x00000070,  0x00000070,
0x71,  0x00000071,  0x00000071,  0x00000071,
0x72,  0x00000072,  0x00000072,  0x00000072,
0x73,  0x00000073,  0x00000073,  0x00000073,
0x74,  0x00000074,  0x00000074,  0x00000074,
0x75,  0x00000075,  0x00000075,  0x00000075,
0x76,  0x00000076,  0x00000076,  0x00000076,
0x77,  0x00000077,  0x00000077,  0x00000077,
0x78,  0x00000078,  0x00000078,  0x00000078,
0x79,  0x00000079,  0x00000079,  0x00000079,
0x7a,  0x0000007a,  0x0000007a,  0x0000007a,
0x7b,  0x0000007b,  0x0000007b,  0x0000007b,
0x7c,  0x0000007c,  0x0000007c,  0x0000007c,
0x7d,  0x0000007d,  0x0000007d,  0x0000008f,
0x7e,  0x0000007e,  0x0000007e,  0x0000007e,
0x7f,  0x0000007f,  0x0000007f,  0x0000007f,
